id_temp,id,idgroup,text,order,
48092,31701,12290,"ολύδωρον ἑκάβης τε κ(αὶ) τοῦ πριάμου παῖδα,",0,
98,16923,15261,ἄρξου χῆρ μου ἀγαθε ,0,
243,16941,14872,+ Οσπερ ξένη χαίροντε ἠδὶν πατρηδαν,0,
48,16907,14872,"+ ὥσπερ ξένοι χαίρο(...) πατρίδα,",0,
268,16949,9033,κεραννύων ἄριστα καὶ περιπλέκων,1,
427,16982,14872,+ ὥσπερ ξένοι χαίροντες εἰδεῖν π(ατ)ρίδα |,0,
533,16999,10869,Η χεῖρ μὲν ἡ γράψασα. |  σήπετε τάφωι: |,0,
545,17003,14872,ὥσπερ ξένοι χαί|ροντὲς ἰδὴν | πατρίδ(α):,0,
592,17015,10869,"ἡ μὲν χεὶρ ἡ γράψασα, σήπετε τάφω·",0,
48115,31708,14932,παιδὸ(ς) ἐοῦ χείρεσι λιπ(εῖν) βίον· ὣς γ(ὰρ) ἔνευσε‧,2,
1011,17080,10869,"ἠ χεὶρ μὲν ἠ γράψασα σύπετε τάφω,",0,
1129,17097,14872,+ ὠσπερ ξἐνῆ χαῖροῦσὴν εῖδὴν π(ατ)ρίδα,0,
1562,17178,10869,+ ἡ μ(ὲν) χεῖρ ἡ Γράψασα σείπταιτέ τάφο·,0,
1675,17204,14872,ω(...)ερ ξένοι χαιρουσιν ἴδιν πατριδα,0,
1702,17208,445,εἰς οὐ(ρα)νοὺς τὸν κόσμον ἐκπέμπεις ὅλον:|,7,
2751,17445,10869,"ἡ μὲν χεὶρ ἡ γράψασα σήπεται τάφω,",0,
2893,17485,14866,ὁ πάντα κόσμον ἐν | λόγω κτίσας πάλιν· |,0,
3074,17544,9033,κεραννύων ἄριστα καὶ περιπλέκω(ν)·,1,
46249,21465,15904,εἰς ἐξέτασιν τῆς ἀκηδίας φθάσας· |,106,
18326,21298,13035,ἥτις καθαρῶς ἐστι πρώτη γλυκύτης· |,3,
3125,17562,14872,Ὥσπερ ξενοὶ χαίρουσιν ἰδεῖν | πατρίδα·,0,
3142,17572,14872,Ὧσπερ ξένοι χαίρουσιν ἡδὴν πατρίδα·,0,
3138,17570,14872,+ ὥσπερ ξένοι χαίρουσιν ἰδεῖν πατρίδα,0,
3140,17571,14872,"Ὥσπερ ξένοι χαίρουσιν ἰδεῖν πατρίδα,",0,
3094,17546,9033,κεραννύων ἄριστα καὶ περιπλέκων:,1,
3084,17545,9033,κεραννύων ἄριστα καὶ περιπλέκων:,1,
3167,17581,2520,Ἐτελειώθη σὺν θεῷ καὶ τὸ παρὸν πτυκτίον,0,
3244,17591,14872,+ ὧσπέρ ξένη χᾶίρου σὺν εἰδεῖν πα|τρὶδα·,0,
3308,17604,14872,ὥσπερ ξένοι χέρουσιν ἰδεῖν | πατρίδ(α)·,0,
3315,17606,5549,"χ(ριστ)ῶ τῶ δόντι ἀρχὴν καὶ τέλος, δόξα",0,
3404,17636,14872,Ὧσπερ ξένοι χαίρουσιν εἱδεῖν π(ατ)ρίδ(α),0,
3654,17685,5549,+ δόξα τῶ θ(ε)ῶ τῶ δόντι τὸ τέλος·,0,
3649,17682,10869,ἡ χεὶρ μὲν ἡ γράψασα σίψε|ται τάφω:,0,
3886,17713,14872,+ ὥσπερ ξένοι χαίροντες ἰδ(εῖν) π(ατ)ρίδα,0,
3925,17726,14872,"+ ὧσπερ ξένη χέροντες, ἡδῆν π(ατ)ρίδα·",0,
3889,17714,10869,+ ἡ μὲν χεὶρ ἡ γράφουσα σήπεται τάφω·,0,
4122,17781,15327,Οἶδ’ ὅτι θνητὸς ἐγὼ κ(αὶ) ἐφήμερος· ἀλλ᾽ ὅταν ἄστρων  ,0,
4196,17792,5549,δόξα τὸ δόντι ἀρχὴν (καὶ) τέλο(ς):–,1,
4386,17846,14872,+ ὥσπερ ξένοι χαίρουσιν πατρίδα φθάσαι |,0,
4365,17840,10869,"+ἡ μὲν χεὶρ ἡ γράψασα, σήπετ(αι) τάφω·",0,
4371,17843,5549,+ τῶ τὸ τέλος δεδωκότι θεῷ δόξα,0,
4483,17873,14872,"ὥσπερ ξαίνη χαίροντες ἰδῦν π(ατ)ριδα,",0,
4432,17859,10869,χε̃ρ μὲν εἱ γράψασα· σέπεται τάφω,8,
4454,17864,10869,ἡ χεῖρ μ(ὲν) ἡ γράψασα σέσι|πται τάφω:,0,
4543,17888,14872,"ὤσπερ ξένοι χάιρουσι ιδεῖν πατρί|δα,",0,
4539,17885,10869,+ χεὶρ μὲν ἡ γράψασα σήπεται τάφω·|,0,
4511,17876,6342,"ωσπερ τοῖς πεινοσι ὑδύς | ὁ ἄρτος, οὕτω",0,
4512,17876,3949,"κ(αί) τοῖς γράφουσ(ιν) | ὁ ἔσχατος, στίχος ·:·  ·:·  ·:·",1,
4618,17915,14872,ὥσπερ ξένοι τρέχοντες οἱδεῖν π(ατ)ρίδα·,0,
4707,17941,14872,+ ὅσπερ ξένη χαίρὸντες ιδεὶν πατρίδα,0,
4992,17996,14872,+ ὥσπερ ξένοι χέρ(ουσιν) ηδῦν π(ατ)ρίδαν·,0,
5157,18040,5549,Δόξα τῶ θ(ε)ῶ τῶ δόντι ἀρχὴν καὶ τέλος.,0,
5253,18062,14872,+ ὥσπερ ξένοι χαίροντες ἰδεῖν π(ατ)ρίδα,0,
5323,18086,14872,"ὥσπερ ξένοι χαίρουσ(ιν) ἰδεῖν π(ατ)ρίδα, |",0,
5588,18144,5549,Δόξα τῶ θ(ε)ῶ τῶ δόντι τὸ τέλος:·,0,
5599,18148,14872,ὤσπερ ξένοι χέροντες ιδειν (?) πατρίδαν,0,
5737,18180,14872,"Ὥσπερ ξένοι χαίρουσιν ἰδεῖν πατρίδα,",0,
5739,18180,14802,καὶ οἱ στρατευόμενοι [ἰδεῖν τὸ νῖκος],2,
13146,20043,14872,Ὥσπερ ξένοι χαίρουσιν ἰδεῖν πατρίδα,0,
48227,31962,14872,"‧:‧ ὥσπερ ξένοι χαίρουσιν ἰδεῖν πα(τρ)ίδα, ",0,
6001,18235,10869,"ἡ μὲν χεὶρ ἡ γράψασα, σέσημπται τάφῳ,",0,
6004,18236,14872,"+ ωσπερ ξενοι χαιρουσιν ἰδὺν πατρῖδα,",0,
6279,18306,14872,"Ὥσπερ ξένη χαῖροντες ἱδεῖν π(ατ)ρίδα,",0,
6277,18305,10869,"Ἱ μὲν χὺρ ἡ γράψασα σύπτεται (!) τάφω,",0,
6321,18315,14872,Ὥσπερ ξένοι χαίρουσιν (...),0,
6487,18358,14872,"+ ὧσπερ ξένοι χέρουσιν ιδεῖν π(ατ)ρίδ(α),",0,
6435,18346,10869,+ ἡ γὰρ χεῖρ ἡ γράψασα σήπετε τάφω,0,
6513,18365,14872,"+ ὧς πὲρ ξένοι χαίρωντες ιδεῖν π(ατ)ρίδας,",0,
6668,18396,14872,ὥσπερ ξένοι χέρουσιν ἡδὴν π(ατ)ρίδα,0,
6738,18423,14872,(....) χαίροντε ἰδεῖν π(ατ)ρίδα:,0,
6756,18432,5549,Δόξα τῷ δόντι τὴν ἀρχὴν καὶ τὸ τέλος,0,
6725,18418,14872,"ὤσπερ ξένοι χαίρουσιν πατρίδα βλέπειν,",0,
6742,18425,10869,"χεὶρ μὲν ἡ γράψασα, σήπτεται τάφω:",0,
6834,18466,14872,ὥσπερ ξένοι χαίροντ(αις) ἰδεῖν π(ατ)ρίδα γέν(ους),0,
6843,18469,14872,Ὡσπερ ξένοι χάιρουσιν ἱδεῖν π(ατ)ρίδα γένουσ·,0,
6902,18480,14872,+ ὀσπέρ ξενῆ χὲῥόν|τε ηδοῖν πατρὶδα |,0,
6950,18497,14872,Ὥσπερ ξένοι χαίρουσιν ἰδεῖν πατρίδα,0,
7067,18515,14872,"ὥσπερ ξένοι χέροντες ἰδεῖν πατρίδα,",0,
7070,18517,10869,"ἠ μὲν χεῖρ ἠ γράψασα, σή|πεται τάφω·",0,
7086,18522,10869,ὁτὶ χεῖρ με̃ν ἠ γράψασα σίπεται τάφω· |,0,
7167,18540,14872,+ ὥσπερ ξένοι χαίρουσιν ἰδ(εῖν) π(ατ)ρίδα,0,
7173,18542,14872,Ὥσπερ ξένοι χαίρουσιν ἰδεῖν πατρίδα,0,
7286,18560,5549,δόξα τῶ δόντι ἀρχὴν κ(αὶ) τέλος·,0,
7288,18561,14872,+ ὧσπερ ξένοι χάιρουσιν εὑρεῖν π(ατ)ρῖδα.,0,
48251,31994,14872,+ ὤσπερ ξένοι χαίροντες ἰδεῖν π(α)τρίδα+,0,
47932,31506,14872,+ Ὥσπερ ξένοι χαίρουσιν ἠδεῖν πατρίδα,0,
37383,25962,14872,ὥσπερ ξένοι χαίρουσιν ἰδεῖν π(ατ)ρίδα |,0,
7686,18619,14872,Ὥσπερ ξένοι χαίρουσιν ἡδεῖν πατρίδαν·,0,
1471,17161,14872,"ὥσπερ ξένοι χαί|ρουσι πατρίδα | βλέπειν,",0,
7852,18677,14872,"+ὥσπερ ξένοι χαίρουσιν πατρίδα βλέπειν,",0,
7931,18695,3949,οὕτως καὶ τοις γραφουσιν ὁ ὔστατος | στίχος.,1,
8075,18728,10869,ἡ μὲν χεὶρ ἡ γράψασα σύπεται τάφω·,0,
8123,18749,10869,"Ἠ χεὶρ μὲν γράψασα, σήπεται τάφω·",0,
8101,18742,14872,"+ ὥσπερ ξένοι χαίρουσιν ἰδεῖν π(ατ)ρ(ί)δα,",0,
8285,18778,10869,Εἰ μὲν χεὶρ ἡ γράψασα σύπεται τάφω·,0,
8307,18785,14872,+ ὥσπερ ξένοι χαίρουσιν ἰδ(εὶν) πα|τρίδα,0,
8304,18783,10869,+ ἡ μὲν χεὶρ ἡ γράψασα σήπετ(αι) τάφω,0,
8434,18827,14872,ὥσπερ ξένοι χαίρουσιν | ἰδεῖν πατρίδα.,0,
8557,18863,14872,"+ ὡς προξένοι χαίρουσιν ἰδεῖν πατρίδα,",0,
8548,18860,10869,":: χεῖρα μὲν ἡ γράψασα σύπεται τάφῳ,",0,
8581,18867,6342,ὡς ηδὺς ὁ ἄρτος τοῖς πεινῶ|σιν,0,
8588,18869,14872,ὥσπερ ξένοι (...) | ιδεῖν πατρίδα,0,
8583,18867,3949,οὕτω τοῖς γράφουσιν ὁ ὕσ|τατος στίχος:-,2,
8785,18906,14872,ὥσπερ ξένοι χαίρουσι πατρίδα βλέπειν,0,
8773,18900,14802,καὶ οἱ στρατευόμενοι ἰδεῖν τὸ κέρδος,2,
8799,18913,5549,"χάριν, δόξα τῶ θεῶ τῶ δόντι τέλος",1,
8795,18911,10869,ἡ χεὶρ μὲν ἡ γράψασα σίπεται τάφω,0,
8945,18964,14872,Ὥσπερ ξένοι χαίρονται οἰδεῖν πατρίδα,0,
9216,19005,5549,Δόξα τῶ θ(ε)ῶ τῶ δόντι ἀρχ(ὴν) καὶ τέλος:,0,
9273,19027,10869,"ἡ μὲν χεὶρ ἡ γράψασα σήπεται τάφω,",0,
9550,19092,14872,ὥσπερ ξένοι χαίροντες (...),0,
9700,19131,14932,σοῦ παιδὸς χείρεσσι λιπεῖν φάος ὡς γὰρ ἐπένευσε ,2,
9640,19115,15278,τῇ ἁγίᾳ καὶ μεγάλῃ κυριακῇ τοῦ Πάσχα,0,
9753,19149,14872,ὥσπερ ξένοι χαίρουσιν ἰδεῖν π(ατ)ρίδα· |,0,
10463,19350,15652,αἰσχύλε τί φ(ῆς) τ(οὺς) θ(εούς) σου προσφέρεις |,0,
10838,19439,12251,Πῶς ἐφρόνεις τάλαινα τῆ τέφρα μέγα:,5,
10917,19464,14872,ὥσπερ ξένοι χαίρουσιν (...),0,
11020,19487,5840,πόνοι δάκνουσι τοὺς ἀσυνήθ(εις) φί(λε),0,
11427,19565,10869,ἡ χείρ μὲν | ἡ γράψασα· σίπεται | τάφω·,0,
11430,19567,14872,[ὥσπερ ξένοι ...],0,
11404,19555,6342,ὡς τοῖς λίαν πεινῶσιν ἄρτος ἡδίων,0,
11410,19558,14872,ὥσπερ ξένοι χέροντες ἰδεῖν π(ατ)ρίδα,0,
11548,19595,14872,Ὥσπερ ξένοι χαίρουσιν (...),0,
11705,19656,14872,ὥσπερ ξένοι χαίρουσιν ἰδαῖν πατρίδα,0,
11829,19694,14872,ὥσπερ ξένοι χαίρωντες ἱδεῖν πατρίδα·,0,
12061,19731,14872,+ ὥσπερ ξένοι χαίροντες ἰδ(εῖν) π(ατ)ρίδα.,0,
12105,19746,5354,τῆς γραμματικῆς εἰμὶ τέχνης πυξίον· ,0,
12127,19756,14872,Ὥσπερ ξένοι χάιροντες ἰδεῖν πατρίδα,0,
12274,19796,5549,+ δόξα τῶ θ(ε)ῶ τῶ δόντι μοι τὸ τέλος.,0,
12615,19887,14872,Ὥσπερ ξένοι χέροντ(αι) ἰδεῖν πατρίδα,0,
12645,19899,14872,ὥσπερ ξαίνοι χαί|ρουσιν ὑδεὶν π(ατ)ρί|δα ,0,
21685,22096,14667,θεόγραφον χάριν τῷ κεκτημένῳ,2,
2900,17485,14667,θεόγραφον χάριν δὲ. | τῶ κεκτημένω·,7,
31407,24512,14667,θεόγραφ(ον) | χάριν δὲ τῶ κεκτημένω·:,2,
13023,19981,10869,+ ἡ γὰρ χεὶρ η γράψασα τῆν βίβλον ταύτην σίπ(ε)ται τάφῳ:-,0,
13515,20159,14872,"ὥσπερ ξένοι χαίροντες ἰδεῖν πατρίδα,",0,
13543,20167,12121,γαῖα βροτὸς (καὶ) ὕδωρ· τὰ δ' ἀπ' αὐτόφ(ιν) εἰς τάδε δύνει:,4,
13875,20256,12122,(...) καὶ ὅσα τίς πονέει +,2,
13871,20255,14872,"ὥσπερ ξένοι χαίρουσι ἰδεῖν πατρίδα,",0,
13965,20289,2520,Ἐτελειώθη σὺν Θεῷ τὸ παρὸν πυκτίον,0,
48316,18583,14667,θεόγραφον χάριν δὲ τῶ κεκτημένω·,6,
13985,20291,10869,Ἡ μὲν χεὶρ ἡ γράψασα σήπεται τάφῳ,0,
14406,20393,14872,ὥσπερ ξένοι χαίρουσ(...) ἰδεῖν π(ατ)ρίδα. ,0,
14723,20479,6353,"Μὴ τεμνέτω τις τὰ φύλλα τῶν βιβλίων,",0,
14732,20482,14872,ὥσπερ ξένοι χαίροντες ἰδεῖν πατρίδα,0,
14793,20496,12290,"Πολύδωρον, ἑκάβης τὲ καὶ τοῦ πριάμου παῖδα,",0,
14867,20509,2520,Ἐτελειώθη σὺν θεῷ τὸ παρὸν πυκτίον,0,
15036,20542,6353,μὴ κοπτέτω τΐς τὰ φύλλα τῶν βϊβλίων,0,
15272,20594,14872,"Ὡσπερ ξένοι χαιρ(ων)τ(ες) ἰδεῖν π(ατ)ρίδα,",0,
15245,20585,15261,+ ἄρξου χ(...),0,
15634,20673,10869,"Ἡ χεὶρ μὲν ἡ γράψασα, σάπη τῶ τάφω:",14,
31292,24487,14667,θεόγραφον χάριν δε τῶ κεκτημένω·,2,
28328,23732,14667,θεόγρα|φον χάριν δὲ τῶι κεκτημέ|νω·,2,
49612,33537,14667,θεόγραφον χάριν δὲ τῶ κεκτημένω,2,
16360,20835,12121,γαῖα βροτὸς (καὶ) ὕδωρ· τὰ ἀπ’ αὐτώσφιν εἰς τάδε δύνει·,4,
16436,20863,5549,δόξα τῶ θ(ε)ῶ τῶ δόντι ἀρχὴν κ(αὶ) τέλος,0,
16538,20887,14872,+ ὥσπερ ξένοι χαίροντες ἰδεῖν π(ατ)ρίδα·,0,
16569,20901,5549,Τῶ τὸ τέλος δεδωκότι θεῶ δόξα.,0,
16707,20945,14872,Ὥσπερ ξένοι χαίροντες | ἰδεῖν π(ατ)ρίδα·,0,
16771,20961,12121,γαῖα βροτὸς (καὶ) ὕδωρ· τὰ ἀπ’ αὐτόφ(ιν) εἰς τάδε δύνει·,4,
16772,20961,12122,ὥστε μάτην ὁ βίος (καὶ) ὅσα τις πονέει:+,5,
16806,20982,14872,ὥσπερ ξένοι χαίρουσιν ἰδεῖν αὐτ(ῶν) π(ατ)ρίδα· ,0,
16829,20994,12121,"Γαῖα βροτὸς καὶ ὕδωρ· τὰ ἀπ’ αὐτόφιν εἰς τάδε δύνει,",4,
16830,20994,12122,ὥστε μάτην ὁ βίος καὶ ὅσα τις πονέει.,5,
17088,21067,10869,ἐμ(...) | χειρὶ γράψασα δὲ σίπετ(αι) τάφω:~,1,
17409,21112,15652,"Αἰσχύλ(ε) τὶ φῆς τοὺς θεούς σου προσφέρεις, ",0,
17666,21148,14866,Ὁ πάντα κόσμον ἐν λόγω | κτίσας πάλαι:· |,0,
17698,21152,14667,·:· θεόγραφον χάριν δὲ | τῶ κεκτημένω:~,2,
11638,19626,10869,<Ἡ> μὲν χεὶρ ἡ γράψασα. σήπεται τάφῳ.,0,
17845,21180,14872,(...) πατρίδα βλέπειν (...),0,
17838,21177,6342,ὥσπερ τοῖς | πινῶσην ἡδὺς ὁ ἄρτ(ος),0,
48384,32143,14872,ὥσπερ ξένοι χαίρουσιν ἰδεῖν πατρίδα,0,
17915,21204,12290,"+πολύδωρον ἑκάβης τε καὶ τοῦ πριάμου παῖδα,",0,
17840,21177,3949,οὖτος κ(αὶ) τοις γράφουσην ὀ ἕσχατος στιχος::,2,
9811,19176,14872,+ ὥσπερ ξένοι χαίρουσιν πατρίδα ἐμβλέψαι·,0,
18136,21251,15327,"οἶδ’ ὅτι θνητὸς ἔφυν καὶ | ἐφάμερος, ἀλλ’ ὅταν ἄστρων· |  ",0,
18868,21424,9033,"κεραννύων ἄριστα περιπλέκων,",1,
18957,21452,6353,+ μὴ τεμνέτω τίς | φύλλα τὰ τῶν | βιβλίων +,0,
19129,21481,10869,(καὶ) χεῖρ | μὲν σίπετε τάφω· |,1,
19166,21495,10869,"+ Εἰ μὲν χειρ ι γράψασα σύπεται τάφῳ,",0,
19241,21505,5354,Γραμματικῆς εἰμὶ τέχν(ης) πυκτίον·,0,
19303,21512,10869,εἰ μὲν χεὶρ ἡ γράψασα σύπτεται τάφῳ:,0,
19305,21513,10869,"+ εἰ μὲν χυρὶ γράψασα, σίπεται τάφω·",0,
19419,21535,10869,Ἡ μὲν χεὶρ ἡ γράψασα σήπεται τύμβῳ,0,
19504,21563,10869,"+ ἡ μὲν χεὶρ ἡ γράψασα, σήπεται τάφω.",0,
17849,21183,14872,"Ὥσπερ οἱ ξένοι χαίρουσιν ἰδεῖν π(ατ)ρίδα,",0,
7186,18548,14872,"+ ὥσπερ ξένοι χαίρου(σ)ιν ἰδ(εῖν) π(ατ)ρίδα,",0,
16519,20878,14872,ὥσπερ ξένοι χαίρουσιν ἰδ(εῖ)ν π(ατ)ρίδα·,0,
48414,32232,14872,+ ὧσπερ ξένοι χαίρουσην ειδήν πατρίδα ,0,
19886,21663,14872,ώσπερ ξεν(οι) χέροντες ϊδὶν πατρΐδα,0,
245,16941,14802,και η στρατεβόμενοι ηδὶν τον ηκος,2,
14734,20482,14802,"καὶ οἱ στρατευόμενοι ἰδεῖν τό κέρδος,",2,
48417,32232,14802,καί οἱ στρατευόμενοι ειδήν το νήκος | ,3,
12618,19887,14802,κ(αὶ) οἱ στρατεβομ(εν)οι ἰδεῖν τω νικος·,3,
19888,21663,14802,"και οἱ στρ<α>ττεβόμ(εν)οι ἱδιν τὸ ν<ῖκος>,",2,
